dist,under_h0,n,estimator,q,weight,rep,statistic,p_value,reject,theta_hat,time_s
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,43,2.3027227673793485e-05,0.595,False,1.8145349107441842,0.38048739999976533
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,44,0.00013952577861414862,0.49,False,1.797653331500767,0.38157460000002175
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,45,0.0005955384769888756,0.065,False,1.8487223456674986,0.3974486999995861
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,46,0.0007389619729983614,0.155,False,1.6702862454830871,0.37917469999956666
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,47,0.00048568130308317364,0.29,False,2.255290341390149,0.37952749999931257
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,49,1.8369223264243973e-05,0.69,False,2.058365239867688,0.3701412000009441
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,48,0.0010936645759895632,0.22,False,1.7652667449455195,0.40180529999997816
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,50,0.00011677748543941529,0.56,False,2.0799027198712987,0.3920155000014347
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,51,7.135437596495167e-05,0.77,False,2.131243757635369,0.3996593000010762
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,52,0.0009546748920524538,0.61,False,2.0222194532178226,0.39699300000029325
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,53,0.0014353275448730513,0.545,False,1.834477141019488,0.41039899999850604
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,54,0.0015220864849479457,0.03,True,1.6845137607069487,0.3863187000006292
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,55,0.0001550419628961899,0.715,False,2.081926109229802,0.38633719999961613
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,56,0.00024040345127800117,0.72,False,1.9907547083546613,0.395014199999423
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,57,0.0001725004123505146,0.38,False,1.9581881598672746,0.3897302999994281
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,58,0.00025400682177818075,0.32,False,2.063007216668267,0.3774195999994845
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,59,0.0007647802867477965,0.11,False,2.061116014381351,0.3859264999991865
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,0,0.0069690542704957305,0.43,False,2.189162449198828,0.4296178000004147
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,1,0.007829476535108806,0.585,False,1.9669405561733007,0.4175119999999879
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,2,0.007105970892313004,0.48,False,2.088881274866786,0.428507399999944
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,3,0.013241138173985305,0.5,False,1.9743692239271178,0.4400956999998016
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,4,0.005020101702265465,0.525,False,1.9409598851326415,0.4326443999998446
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,5,0.0003138566614125245,0.735,False,2.061229687887132,0.42252209999969637
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,6,0.009969438124731902,0.345,False,2.100281277676675,0.4255716999996366
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,8,0.00647606892698872,0.12,False,1.6538511395541327,0.4093429999993532
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,7,0.01436500505376575,0.47,False,1.943868461700484,0.46485329999995884
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,9,0.02088779642601153,0.305,False,2.1783085706122787,0.4589697999999771
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,10,0.002015283113329454,0.71,False,2.0100085996122137,0.437479500000336
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,11,0.00012937548877894282,0.955,False,1.8959224389830869,0.43995539999923494
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,12,0.0024964813932193426,0.385,False,1.7905612136149736,0.43243790000087756
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,13,0.0049443900018745265,0.165,False,2.25747833711808,0.4278154000003269
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,15,0.0005145913941788589,0.83,False,2.0321535853593713,0.4365877999989607
"Uniforme(1.0,3.0)",True,20,argmin,2,laplace_1.0,16,0.002417339594341545,0.605,False,2.2014711430359317,0.4431274000016856
